File;Path;Type;Size;Size (octets);Modification;Creation;Owner;SID;NT account description;Attributes
Lightning.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;67,25 KiB;68873;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Man.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;388,27 KiB;397592;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
MyCar.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;67,59 KiB;69215;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Optics.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;59,68 KiB;61114;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Orbit.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;27,08 KiB;27730;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Prism.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;93,73 KiB;95980;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Robot Trance Dance.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;306,66 KiB;314029;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Solar Prominance Simulator.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;38,61 KiB;39538;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Spongy.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;48,32 KiB;49488;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Trebuchet.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;1,2 MiB;1265457;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Walking toys.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;27,83 KiB;28508;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Wood mechanics 1.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\official;Algodoo Scene Package;6,49 KiB;6650;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Soft body.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\misc;Algodoo Scene Package;65,25 KiB;66818;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Concave lens.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\optics;Algodoo Scene Package;56,18 KiB;57538;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Convex lens.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\optics;Algodoo Scene Package;56 KiB;57346;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Laser array.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\optics;Algodoo Scene Package;7,62 KiB;7803;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Mirror.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\optics;Algodoo Scene Package;48,96 KiB;50142;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Prism.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\phunlets\optics;Algodoo Scene Package;56,72 KiB;58082;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
